# id,snap_id,uid,x,y,z,x_pixel,y_pixel,i_sector,M500_msolh,r500_kpch,gas_frac,star_frac,T_kev,Lx_ergs,Y500c,M_sat_M_cD,cshift,vx,vy,vz 
871393,27,422,312201.62,194009.28,34458.32,14531,7353,7,6.80476e+13,523.209,0.0952166,0.0271425,1.92195,0.284067,6.7764332,0.211998,0.0817685,119.445,631.638,493.556 
871559,27,588,143365.53,148786.67,335919.97,6673,9458,9,6.81658e+13,523.52,0.063281,0.0322917,1.91451,0.12242,4.4886573,0.0780642,0.022773,332.863,216.836,-121.201 
871573,27,602,350525.59,2200.7944,138728.95,16315,16281,15,6.84638e+13,524.277,0.0685439,0.0280391,1.79237,0.150316,4.5584991,0.0457667,0.0499588,-159.036,185.83,-58.2709 
871487,27,516,69226.031,208289.36,81350.648,3222,6689,4,6.85658e+13,524.531,0.0838497,0.0318176,1.68483,0.19583,5.2445422,0.132285,0.0208369,154.129,69.2791,82.9056 
871619,27,648,23671.717,230130.14,67898.023,1101,5672,4,6.87353e+13,524.976,0.0859429,0.0286574,1.68027,0.218142,5.3650632,0.504599,0.037028,-504.094,-133.627,198.115 
871379,27,408,311278.16,228452.22,306772.28,14488,5750,7,6.88548e+13,525.278,0.0848278,0.0284451,1.73771,0.211914,5.4796743,0.178612,0.0394076,-304.163,-339.984,239.344 
871667,27,696,274149.06,237716.56,157499.12,12760,5319,7,6.88588e+13,525.286,0.0816523,0.0314635,1.81811,0.240319,5.5187551,0.0829443,0.0381113,29.9451,-114.861,251.214 
871556,27,585,185364.44,178735.34,48373.574,8627,8064,6,6.89598e+13,525.553,0.0822414,0.0268204,1.73265,0.205451,5.2996746,0.119723,0.0262306,94.115,324.505,379.624 
871455,27,484,31084.365,85617.211,528.34448,1446,12398,12,6.90492e+13,525.78,0.0824673,0.0330705,1.77481,0.211884,5.4458953,0.0983699,0.0149094,65.591,299.198,-63.2626 
871518,27,547,66659.68,104199.38,1469.3989,3102,11533,8,6.90608e+13,525.803,0.0679212,0.0341452,1.90837,0.145847,4.8232319,0.0859809,0.0181787,-318.535,261.67,20.0769 
871599,27,628,235476.02,261282.78,71022.039,10960,4222,6,6.91677e+13,526.083,0.0908889,0.0277984,1.59106,0.289181,5.3836667,0.363504,0.0446748,-103.001,106.508,-280.966 
871428,27,457,45120.293,32762.445,137636.83,2100,14859,12,6.92209e+13,526.209,0.0931859,0.0250437,1.63622,0.250419,5.6780405,0.330094,0.0525491,-237.794,-108.067,-330.821 
871645,27,674,137466.11,10206.867,66940.727,6398,15908,13,6.92632e+13,526.318,0.0761713,0.033625,1.63555,0.182224,4.6403125,0.100946,0.036253,89.8531,-57.8251,39.8343 
